Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
6.250006, -1.064354, 1.592735, 0.1791966, 1.025032, 0.9033475, -1.28526, 0.1499999, -0.5202478, -0.05499965, 0.05493043, -0.05500004, 0.04841435, 
6.300006, -1.065244, 1.596837, 0.1791981, 1.029971, 0.90429, -1.290776, 0.1499999, -0.5259898, -0.05500012, 0.0549298, -0.05500004, 0.04840082, 
6.350006, -1.065785, 1.600345, 0.1792006, 1.03409, 0.9047961, -1.295488, 0.1499999, -0.5307896, -0.05499993, 0.05492885, -0.05500003, 0.04838953, 
6.400006, -1.066134, 1.603329, 0.1792035, 1.037528, 0.9050754, -1.299485, 0.1500001, -0.5347689, -0.05499949, 0.05492758, -0.05500001, 0.04838061, 
6.450006, -1.069258, 1.608251, 0.1791998, 1.044353, 0.9084787, -1.306519, 0.1499999, -0.5429196, -0.0549987, 0.05492555, -0.05500004, 0.0483634, 
6.500007, -1.070847, 1.612806, 0.1791967, 1.050095, 0.9102765, -1.312872, 0.1500001, -0.5497962, -0.05499996, 0.05492544, -0.05500003, 0.04834881, 
6.550007, -1.071719, 1.616786, 0.1791978, 1.054894, 0.9112015, -1.318404, 0.1499999, -0.5555208, -0.05499998, 0.05492552, -0.05500009, 0.04833709, 
6.600007, -1.07226, 1.620189, 0.1791999, 1.058909, 0.9117076, -1.323134, 0.15, -0.560303, -0.055, 0.054925, -0.05500001, 0.04832825, 
6.650007, -1.07261, 1.623086, 0.1792024, 1.06226, 0.9119869, -1.327131, 0.15, -0.5642999, -0.0549998, 0.05492426, -0.05499994, 0.04832188, 
6.700007, -1.073063, 1.625547, 0.1792057, 1.065174, 0.9151983, -1.33413, 0.15, -0.5724505, -0.05499856, 0.05492331, -0.05499997, 0.04831058, 
6.750008, -1.073168, 1.627712, 0.1792066, 1.067618, 0.9169436, -1.340448, 0.1499999, -0.5793272, -0.05499747, 0.05492243, -0.055, 0.04830527, 
6.800008, -1.073238, 1.629509, 0.1792088, 1.06966, 0.9178687, -1.345928, 0.1499999, -0.5850692, -0.05499649, 0.05492133, -0.05500004, 0.0483047, 
6.850008, -1.073308, 1.630993, 0.1792108, 1.071353, 0.9183748, -1.350623, 0.15, -0.589869, -0.05499541, 0.0549203, -0.055, 0.04830716, 
6.900008, -1.07336, 1.632249, 0.1792126, 1.072767, 0.9186715, -1.354585, 0.15, -0.5938658, -0.05499428, 0.05491958, -0.05499996, 0.04831161, 
