Timestamp, lowerLink1, lowerLink2, lowerLink3, lowerLink4, upperLink1, upperLink2, upperLink3, upperLink4, gripLowerR, gripLowerL, gripUpperR, gripUpperL
7.000009, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499981, -0.05500001, 0.05154778, 
7.050009, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498651, 0.05499984, -0.05500001, 0.0515478, 
7.100009, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.0549865, 0.05499985, -0.05500003, 0.05154774, 
7.150009, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.0549865, 0.0549999, -0.05500003, 0.05154774, 
7.200009, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.0549865, 0.05499985, -0.05500003, 0.05154774, 
7.25001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498653, 0.05499993, -0.055, 0.05154773, 
7.30001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499999, -0.05500002, 0.05154773, 
7.35001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499999, -0.05500002, 0.05154773, 
7.40001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498644, 0.05499999, -0.05500003, 0.05154777, 
7.45001, -0.7831292, 0.7846128, 0.1793295, 5.235988E-05, 0.7722733, -0.7982438, 0.15, 0.01123992, -0.05498646, 0.05499997, -0.05500003, 0.05154777, 
